id;input;result_id;assigned_worker;result
1;data/0/2.400.jpg;1;30;[2.8183594,-0.5683594,0.0993042,-1.0820312,-3.2792969,0.19580078,1.6425781,1.1142578,-0.671875,0.0011978149,-2.5429688,-0.9892578,0.56689453,2.5039062,-0.48168945,1.9521484,0.5498047,0.9165039,0.35327148,0.3635254,1.1240234,-1.8007812,0.9873047,-1.0878906,3.8847656,-0.39868164,0.42333984,0.23291016,-0.010185242,0.42138672,-2.9121094,-1.0019531,1.2285156,0.74902344,1.484375,0.9199219,0.79003906,-0.18713379,-3.5859375,-1.3740234,-0.22229004,1.3945312,-0.14819336,-0.79248047,-1.2539062,-1.0136719,1.3457031,0.026153564,2.0546875,-2.2480469,1.9863281,0.8129883,1.2304688,0.78564453,-3.9902344,2.7792969,0.2614746,-6.2617188,1.7177734,0.37890625,-1.5693359,-2.2832031,0.6401367,0.2220459,0.7753906,1.0732422,-2.546875,1.3369141,-0.46313477,-0.45874023,-2.3671875,-2.7167969,-0.8803711,1.9853516,1.2783203,1.3681641,-2.3613281,-0.3947754,0.07318115,-0.23718262,0.5498047,-1.6630859,-1.0771484,-0.7753906,1.2724609,-0.52978516,-0.3466797,0.68359375,-1.9111328,1.3330078,-1.0068359,4.921875,-2.390625,3.6757812,1.3378906,0.4963379,-0.9511719,0.82666016,-2.2324219,1.6699219,2.3476562,-2.6152344,0.9038086,-3.3769531,-1.6416016,-1.171875,1.1142578,2.8496094,0.5151367,1.5917969,-1.1455078,0.7324219,-2.4648438,1.5009766,0.4387207,-2.0039062,1.9902344,0.7734375,-0.8149414,-1.2001953,3.2148438,0.6665039,-1.4658203,1.5957031,-1.9775391,-0.9301758,2.4453125,1.8671875,-2.7753906,-0.9921875,0.21679688,-1.5527344,0.29589844,1.6904297,1.1943359,0.96533203,-1.1835938,-0.1295166,0.734375,-0.84375,-0.66796875,-0.19152832,-2.1132812,0.67871094,-1.4492188,-2.9414062,-5.8046875,1.6347656,-2.8046875,-1.7275391,-0.038330078,3.2285156,8.1796875,0.5024414,-0.85302734,3.2148438,0.25048828,1.8466797,1.6455078,1.5351562,-0.42114258,-0.5131836,2.6230469,-0.95751953,-1.3417969,3.0332031,1.4355469,-0.40356445,0.46655273,-0.57666016,-0.58251953,-3.7265625,1.3271484,1.734375,0.5678711,-0.2524414,-2.3398438,-0.25512695,2.9980469,2.9863281,-0.6274414,0.10424805,-5.6328125,1.0761719,8.046875,-0.6074219,3.2636719,1.0556641,-0.40527344,-2.875,0.7207031,-2.5253906]
2;data/00/1.400.jpg;1;30;[2.1914062,-0.5288086,1.9345703,-0.51171875,-3.3496094,0.9453125,0.11328125,1.328125,-1.1142578,-0.006011963,-1.9736328,-1.9628906,0.5839844,2.3007812,-0.5004883,1.0576172,-0.73779297,0.3215332,-0.1640625,1.0712891,2.2832031,-1.5517578,0.37329102,-1.546875,4.0429688,0.06945801,0.087402344,-0.23571777,0.7861328,0.16589355,-2.8828125,-0.42260742,1.5908203,0.42651367,2.1777344,-0.099243164,1.375,0.21154785,-3.6035156,-0.86083984,-0.39770508,1.2578125,0.52734375,-0.7944336,-0.91259766,-0.984375,1.5390625,0.3095703,1.3720703,-1.2226562,0.82714844,-0.04876709,1.9960938,0.7133789,-3.8144531,3.8242188,0.45947266,-6.8671875,1.5371094,-0.16137695,-2.0898438,-1.8330078,1.0458984,-0.8364258,0.49829102,1.5009766,-1.1484375,1.6259766,-0.7602539,0.4230957,-2.84375,-2.46875,-0.12890625,2.1855469,1.4970703,1.5185547,-2.1914062,-0.6347656,-0.21508789,-0.4194336,-4.7304688,-2.2851562,-0.21203613,0.5942383,0.6323242,0.5605469,0.30981445,1.0947266,-1.9550781,1.7509766,-1.0917969,3.8652344,-1.4160156,2.6835938,0.5517578,1.9736328,-2.46875,0.41870117,-2.7792969,1.1083984,1.578125,-1.0449219,0.921875,-2.8710938,-2.0546875,-1.1455078,-0.19165039,2.3085938,0.8901367,0.7402344,-1.1875,0.57470703,-3.2167969,0.453125,0.42260742,-1.2060547,1.9082031,0.44506836,-1.3632812,-2.3652344,2.0039062,0.81640625,-0.14538574,1.5927734,-1.1777344,-1.6679688,2.703125,2.1621094,-3.2832031,0.052093506,-0.9785156,-1.0253906,-0.45117188,1.6103516,1.1982422,2.3964844,-1.2373047,-0.60791016,1.09375,-0.8466797,-0.27856445,-0.78125,-0.17150879,-0.24157715,-1.4580078,-2.5449219,-4.0585938,1.3945312,0.24938965,-1.0263672,-0.18798828,2.984375,8.8046875,0.7651367,-0.81933594,3.515625,0.24035645,0.8671875,0.72558594,0.8730469,-0.77246094,-1.4814453,1.4921875,-0.2199707,-1.9511719,1.78125,1.1425781,-0.8989258,0.8989258,0.55810547,-0.21643066,-3.2597656,0.92626953,0.6323242,1.2910156,0.08685303,-2.7128906,0.29174805,3.0957031,1.7714844,-1.3896484,0.42089844,-6.375,0.18225098,10.1015625,-0.54052734,4.6054688,0.6904297,0.30981445,-2.671875,1.7451172,-2.5488281]
3;data/00/2.400.jpg;1;30;[2.5585938,-0.27124023,1.7744141,0.20935059,-3.6777344,1.0634766,0.40673828,0.50927734,-1.3066406,0.3779297,-0.8754883,-1.4707031,0.36547852,2.6230469,-0.9902344,1.3710938,0.08093262,0.67041016,0.2685547,0.96777344,2.3671875,-1.4472656,0.6635742,0.8466797,2.7402344,-0.8496094,0.44458008,0.9736328,1.5146484,-0.21557617,-3.3066406,-1.8652344,1.8837891,0.8569336,0.2800293,-0.5332031,1.34375,-0.27954102,-3.2246094,-1.1875,1.4384766,0.58447266,0.88134766,-1.2148438,-0.22912598,0.49804688,1.8076172,0.57714844,1.6308594,-0.54296875,-0.034729004,-0.6274414,2.1015625,1.2910156,-4.4804688,4.2226562,0.42871094,-3.1171875,0.3408203,-0.07067871,-1.7060547,-1.8925781,1.1337891,-0.58447266,0.14428711,0.97753906,-0.9248047,1.5751953,-0.1928711,-0.015426636,-2.7714844,-3.0566406,-1.0722656,1.2285156,0.77197266,1.0673828,-1.1640625,-1.0087891,-0.55908203,0.05996704,-5.6601562,-2.2578125,0.11315918,1.5068359,-0.7192383,0.9082031,-0.17944336,1.5097656,-0.7270508,2.4179688,-0.32592773,4.4453125,-2.1972656,2.1113281,0.7270508,1.2314453,-3.3535156,1.3056641,-2.9121094,0.39379883,0.2052002,-0.8149414,-0.1875,-3.7578125,-2.4472656,-0.515625,0.31396484,3.0585938,1.2441406,0.94433594,-0.5571289,0.24450684,-2.796875,1.7363281,0.7866211,-1.9716797,2.6308594,0.1348877,-2.2109375,-2.3808594,3.4003906,0.6225586,-0.42944336,1.5039062,-1.28125,-1.7646484,1.0361328,1.9609375,-3.0195312,-0.51416016,1.4248047,-1.3134766,0.04196167,0.37841797,1.6611328,1.7822266,-1.3818359,0.4326172,0.18444824,-0.5234375,-0.5644531,-0.5517578,-0.15966797,-0.5541992,-1.1464844,-3.8574219,-4.3632812,0.9692383,-0.62158203,-1.5888672,-0.31518555,2.4023438,8.390625,1.0644531,-0.45996094,2.7324219,0.95703125,0.15551758,0.43139648,1.1103516,0.8798828,-1.8789062,1.0888672,0.09112549,-1.6591797,0.9995117,1.2958984,-0.6816406,0.9458008,-0.60546875,-0.48999023,-2.7890625,0.7548828,-0.3857422,0.640625,-1.2041016,-2.3398438,0.5209961,2.8867188,1.6132812,-1.1982422,-0.26367188,-6.140625,0.031402588,11.03125,-0.25,5.1015625,0.79296875,0.5908203,-1.9238281,0.2824707,-2.046875]
4;data/00/3.400.jpg;1;30;[2.3476562,-0.3503418,1.5322266,-0.265625,-3.7597656,1.0625,0.95947266,1.0058594,-1.1074219,0.52783203,-1.1445312,-1.6835938,0.4260254,2.5410156,-0.99316406,2.1289062,0.18261719,0.5678711,0.51464844,1.0097656,2.1796875,-1.6103516,1.0507812,0.47045898,3.1210938,-0.55371094,-0.16845703,0.58203125,1.3857422,-0.7294922,-2.75,-1.4453125,1.2802734,0.49609375,0.53222656,-0.7788086,1.2636719,-0.22033691,-3.2929688,-1.7705078,0.9892578,0.6713867,1.2304688,-0.7104492,-0.37670898,-0.35058594,1.6640625,0.8730469,1.6035156,-0.81933594,0.5205078,-0.7763672,1.9599609,1.6230469,-4.34375,3.7988281,0.32958984,-3.25,0.5410156,-0.022720337,-1.7158203,-1.3857422,0.80126953,-0.54296875,0.25439453,1.2597656,-1.4472656,1.5244141,-0.117248535,0.37939453,-2.8789062,-3.3984375,-0.73583984,1.5527344,0.83935547,0.96240234,-1.1669922,-0.55615234,-0.44873047,0.72216797,-4.6757812,-2.265625,-0.45581055,1.1640625,-0.2088623,0.90771484,-0.4868164,1.4443359,-0.55859375,2.265625,-0.11590576,4.5703125,-1.7890625,2.328125,0.8574219,0.8574219,-3.125,1.3837891,-2.7265625,0.4050293,0.21899414,-1.4179688,-0.5932617,-4.5664062,-2.3183594,-0.6669922,0.43432617,3.0917969,1.3662109,1.0966797,-0.17077637,0.107299805,-2.8730469,1.6230469,1.0585938,-2.0625,2.2226562,0.6660156,-1.5751953,-2.4511719,3.3359375,0.828125,-0.85595703,1.0771484,-0.94628906,-1.2246094,1.2617188,1.4140625,-3.5332031,-1.1699219,0.8964844,-1.2050781,-0.0826416,0.36547852,1.2929688,1.7216797,-1.1142578,0.9663086,0.10498047,-0.34375,0.19116211,-0.65283203,0.06384277,-0.48168945,-1.3164062,-3.609375,-4.8515625,1.3691406,-0.7158203,-1.5849609,-0.43139648,2.984375,8.296875,1.3359375,-0.7626953,2.8007812,0.46655273,1.2792969,0.43066406,1.140625,0.91064453,-2.0996094,1.5224609,0.22888184,-1.4619141,1.1425781,1.8740234,-0.90771484,1.0849609,0.31835938,-0.30664062,-2.8398438,0.88671875,-0.27661133,0.7597656,-0.9160156,-2.4921875,0.43188477,3.2050781,1.296875,-1.453125,0.16027832,-6.2851562,-0.40185547,10.7109375,-0.72509766,5.0039062,0.45483398,0.11981201,-2.2167969,-0.15539551,-2.4511719]
5;data/000/000/000/0/1.400.jpg;1;30;[3.1972656,-0.7163086,0.30932617,-0.9868164,-3.3984375,-0.3083496,0.48950195,0.8769531,-0.29956055,-0.22802734,0.19177246,0.71972656,-0.6855469,2.0390625,-0.048583984,1.6464844,0.94628906,-0.03970337,1.3925781,0.6323242,0.7373047,-2.1425781,0.12017822,-0.06695557,3.5898438,-0.80810547,1.2207031,0.38208008,-1.0722656,-0.62890625,-2.234375,-0.5415039,0.30249023,0.5307617,-0.94189453,2.1367188,0.17993164,-1.1181641,-2.4199219,-1.3115234,0.5053711,1.3007812,-2.2460938,-0.15454102,-2.7382812,-0.4272461,1.0478516,0.63916016,1.2900391,-2.1914062,1.0488281,1.1630859,1.4570312,1.2597656,-1.6767578,2.2070312,0.50146484,-5.6132812,1.6074219,-0.0881958,-2.3125,-3.2851562,-0.45874023,1.1357422,-0.24304199,1.6123047,-2.9941406,1.8828125,0.07635498,1.15625,-2.7324219,-2.4511719,-0.84277344,1.4462891,1.6601562,2.7910156,-1.4912109,0.60546875,0.33496094,-0.62353516,3.0058594,-2.1855469,-0.69384766,-0.16882324,1.8691406,0.46655273,-0.67089844,1.1572266,-2.1601562,1.1240234,-1.1054688,3.375,-1.1494141,2.9101562,1.4248047,0.28344727,-1.6855469,1.4414062,-1.5400391,1.4550781,2.328125,-2.6015625,1.5048828,-3.34375,-1.3632812,-0.91748047,1.4619141,1.9833984,0.049835205,1.2617188,-1.7558594,0.07312012,-1.578125,0.47851562,0.0871582,-2.1015625,1.6611328,1.5195312,-1.2207031,-0.40234375,4.3632812,0.34179688,-1.6640625,1.4541016,-2.1582031,-1.3935547,1.0478516,0.7036133,-1.7373047,-1.046875,1.5400391,-1.6152344,1.0244141,1.7080078,1.7197266,2.7929688,-0.56640625,0.34814453,-0.035949707,-0.4580078,-1.5097656,-0.48486328,-1.5458984,0.77246094,-3.5507812,-4.2460938,-7.3046875,1.2998047,-2.6503906,-1.8896484,0.33447266,3.1230469,7.2617188,0.6557617,0.8183594,2.0136719,-1.0283203,3.0117188,3.4257812,1.28125,-1.7363281,-1.6035156,4.5898438,-0.4909668,-1.0429688,3.3164062,2.6796875,0.25195312,0.5390625,-0.12817383,-0.5644531,-2.4980469,1.0429688,1.2119141,1.7050781,-0.85498047,-0.9160156,-0.2939453,3.5390625,3.2617188,-0.38330078,0.33569336,-2.7636719,2.1601562,4.8007812,-1.296875,0.25732422,0.91015625,-0.35717773,-3.3515625,-1.0273438,-2.9140625]
6;data/000/000/000/0/10.400.jpg;1;30;[3.0722656,-1.0986328,1.1337891,-0.71533203,-3.2714844,0.57666016,-0.029083252,0.99902344,-0.6308594,0.2668457,-0.5751953,-0.099121094,0.30249023,1.9521484,0.33154297,1.2177734,-0.43603516,0.7338867,0.8803711,0.9013672,1.609375,-1.9267578,0.7451172,-0.9819336,3.6152344,-0.5078125,0.3630371,0.058380127,-0.39453125,0.45629883,-3.3378906,-1.1806641,0.8979492,0.22045898,0.71191406,1.6396484,0.8173828,-0.91503906,-3.3359375,-0.50683594,-0.11590576,1.3300781,-0.7207031,-0.7988281,-1.7148438,-0.6044922,1.1679688,0.25390625,1.4746094,-1.9423828,1.6376953,1.0644531,1.859375,0.019744873,-1.9394531,3.0234375,0.88671875,-7.0703125,1.3505859,-0.38256836,-2.0996094,-2.6074219,0.07867432,0.34350586,0.17944336,1.3945312,-2.5761719,2.1035156,0.6166992,-0.3618164,-2.9707031,-2.1171875,-1.0029297,1.8916016,2.0410156,2.046875,-1.9824219,0.113708496,0.2290039,-0.22839355,-0.63134766,-2.15625,-1.4609375,0.65722656,0.5419922,-0.3178711,-0.5888672,1.2392578,-2.1464844,1.3134766,-0.83447266,4.5507812,-1.5898438,3.1386719,0.9013672,0.98535156,-1.4775391,0.6621094,-1.5712891,0.89941406,2.6484375,-2.2460938,0.80322266,-3.6347656,-1.3291016,-1.4775391,0.5283203,2.5546875,-0.11151123,1.1923828,-1.5771484,-0.033477783,-2.0195312,1.1064453,-0.2998047,-1.9160156,2.2734375,1.5820312,-1.5302734,-0.6821289,3.5195312,1.2832031,-1.6777344,2.0742188,-2.0546875,-1.3378906,1.6552734,1.4599609,-2.5839844,-0.5385742,0.8378906,-2.6015625,0.12023926,1.0126953,0.78222656,1.8369141,-0.671875,0.21130371,0.3564453,-1.2626953,-1.1328125,-0.6298828,-1.1806641,0.9199219,-2.5058594,-3.1953125,-6.140625,1.3017578,-1.8515625,-1.71875,0.46728516,3.6582031,8.890625,0.6772461,-0.42089844,3.2402344,-0.14916992,1.6289062,2.3632812,1.9521484,-0.15478516,-1.5996094,3.3730469,0.34057617,-1.3632812,2.7265625,2.515625,-0.041046143,-0.4177246,-0.46044922,-0.5678711,-2.9863281,0.42358398,1.2363281,1.6601562,-0.3239746,-1.6289062,-0.1739502,3.2988281,3.0761719,-1.3994141,-0.1763916,-4.4414062,1.0390625,7.1875,-0.94921875,2.484375,1.2744141,-0.06402588,-3.2949219,0.8364258,-2.6367188]
7;data/000/000/000/0/11.400.jpg;1;30;[3.1347656,-0.734375,1.1572266,-0.35766602,-3.6367188,0.53125,1.5244141,1.0146484,-1.1845703,-0.55908203,-1.7207031,-0.027511597,-0.05355835,2.6230469,0.03994751,2.2441406,-0.18237305,0.9550781,0.24609375,0.48583984,1.5654297,-1.9130859,0.5576172,0.21520996,3.3945312,-0.63720703,0.5415039,0.36645508,-0.35668945,-0.11584473,-3.0175781,-1.0751953,0.9794922,0.9897461,0.18859863,0.625,0.6230469,-0.36279297,-2.8964844,-1.2949219,0.90185547,1.3339844,-1.2109375,-0.7529297,-1.59375,-0.625,1.1982422,1.2138672,1.9472656,-2.28125,0.79296875,0.65185547,1.6982422,1.4736328,-3.625,3.2988281,0.2590332,-6.0585938,0.8076172,0.25097656,-2.0019531,-2.9355469,0.15197754,0.38354492,0.5961914,1.6523438,-2.4707031,2.3574219,0.13024902,0.19934082,-2.1269531,-3.0644531,-0.40356445,1.4404297,1.9609375,1.4873047,-2.3398438,-0.08605957,-0.22607422,-0.7211914,0.25048828,-2.703125,-0.09399414,0.5888672,0.58447266,0.86083984,0.08343506,1.6777344,-1.2363281,1.3173828,-1.0097656,4.3828125,-1.5683594,3.2304688,1.7832031,0.92041016,-1.3945312,0.75683594,-2.1367188,1.5175781,1.796875,-2.4140625,1.0810547,-3.71875,-1.3417969,-1.03125,0.8745117,2.4960938,0.34472656,1.9941406,-1.2460938,0.5654297,-2.4628906,0.98535156,0.25805664,-2.1347656,2.03125,1.0537109,-1.7578125,-1.4853516,3.3828125,0.8876953,-0.86621094,1.2929688,-1.8535156,-0.42822266,1.8369141,1.9853516,-2.4316406,-1.828125,0.3762207,-1.3740234,-0.19934082,0.8339844,1.8349609,2.0800781,-1.2636719,-0.36132812,0.8623047,0.53515625,-0.80859375,-1.1630859,-1.6005859,-0.028549194,-2.1757812,-2.9414062,-6.125,1.0615234,-1.5820312,-1.2392578,0.03439331,3.203125,8.4296875,-0.23205566,-0.35546875,2.6894531,-0.18969727,2.1152344,2.4296875,1.3896484,-0.97216797,-1.9511719,2.5253906,-1.1005859,-2.125,2.5195312,1.7871094,-0.6376953,0.15332031,0.22705078,-0.46264648,-3.6835938,0.49560547,0.6245117,1.8242188,-0.6333008,-1.9492188,-0.47680664,3.7441406,3.2519531,-1.2099609,1.1943359,-5.0117188,1.3740234,8.34375,-0.92578125,2.2792969,-0.056365967,-0.50146484,-2.7226562,-0.42041016,-2.25]
8;data/000/000/000/0/12.400.jpg;1;30;[3.1132812,-0.89990234,0.79003906,-0.7944336,-3.3261719,0.42749023,-0.3815918,1.1894531,0.25073242,0.2878418,-1.5595703,0.2866211,0.8173828,2.3242188,-0.09106445,0.80078125,0.9824219,0.5986328,0.44555664,0.60839844,1.5371094,-1.7539062,0.04119873,-1.2509766,3.4238281,-0.84716797,0.34350586,0.061828613,-0.019195557,0.25170898,-2.9824219,-1.0703125,1.3125,1.1269531,0.6098633,1.2626953,1.3291016,-0.7319336,-2.7519531,-0.66552734,0.6269531,1.6201172,-0.8232422,0.031158447,-2.375,-0.45996094,1.5771484,0.117614746,1.3525391,-1.9121094,0.43164062,1.2626953,2.0722656,1.2021484,-1.9931641,3.4707031,0.060516357,-7.9296875,1.4033203,-0.2421875,-2.4277344,-2.7109375,-0.09802246,-0.0592041,-0.19848633,1.9492188,-2.5136719,2.1621094,-0.028579712,0.8125,-3.0898438,-2.5117188,-0.19396973,2.0097656,2.4726562,2.09375,-1.7011719,0.43798828,0.10668945,-1.3769531,0.4519043,-1.890625,-0.009727478,0.39916992,0.7441406,-0.103515625,-0.5751953,0.5024414,-2.2382812,1.3349609,-1.0546875,4.3164062,-2.1425781,3.9082031,2.375,0.75341797,-1.1572266,1.4150391,-2.4628906,1.3554688,2.3515625,-3.0742188,1.0859375,-3.0878906,-0.9194336,-1.1181641,1.09375,2.1054688,0.27929688,1.1171875,-1.3769531,0.021865845,-1.9697266,0.5395508,0.24035645,-2.0,1.5957031,1.1933594,-1.9130859,-0.828125,3.4804688,0.45043945,-0.96777344,0.7548828,-1.9902344,-0.90234375,2.1777344,2.1738281,-2.0957031,-1.1181641,0.7265625,-0.875,0.20202637,0.41357422,0.98046875,1.6201172,-1.1630859,-0.16064453,0.7265625,-0.6748047,-1.4091797,-0.34570312,-1.8701172,0.7080078,-2.296875,-3.203125,-5.734375,1.9482422,-2.5058594,-0.89208984,0.10809326,3.8496094,8.6328125,0.06866455,-1.1162109,2.5664062,-0.6665039,2.0566406,1.9082031,0.9560547,-1.5361328,-1.3974609,2.8222656,-0.31152344,-1.3085938,3.1367188,1.90625,-0.8276367,-0.13476562,-0.6376953,-0.5,-3.9179688,0.78271484,0.86035156,1.6455078,-1.2050781,-1.8603516,-0.9375,3.8652344,3.2714844,-0.72021484,0.75341797,-3.7890625,1.4462891,6.8398438,-1.0576172,2.375,0.35180664,-0.20227051,-3.8339844,0.3137207,-2.5371094]
9;data/000/000/000/0/13.400.jpg;1;30;[2.4453125,-0.94091797,0.5283203,0.060668945,-3.1191406,0.7446289,0.049987793,1.7373047,-1.0966797,-0.17785645,-1.8505859,-0.8540039,0.75097656,2.6503906,-0.21325684,0.93603516,-0.14245605,0.7260742,0.31030273,0.57910156,0.94970703,-1.71875,0.6533203,-0.72265625,4.1132812,-0.37573242,0.10192871,-0.42138672,-0.3244629,0.40112305,-1.8408203,-0.9580078,0.9863281,0.9296875,0.92041016,0.9941406,0.9550781,-0.5234375,-3.1972656,-1.6982422,0.3269043,1.7509766,-0.16760254,-0.94873047,-1.4443359,-0.53808594,1.1494141,0.5942383,1.8525391,-1.9365234,0.92626953,0.796875,1.3496094,0.9536133,-4.9453125,3.7246094,0.328125,-6.8632812,1.7939453,0.21179199,-1.4033203,-3.4648438,0.8925781,9.286404e-05,0.53808594,1.6992188,-1.7558594,2.1523438,-0.76220703,0.26098633,-2.5214844,-2.8613281,-0.12188721,2.3085938,1.8955078,1.6630859,-2.5917969,-0.34838867,-0.17419434,-1.015625,0.9169922,-2.2089844,0.23632812,0.8769531,1.046875,-0.26904297,-0.4230957,1.0849609,-1.3876953,1.6699219,-1.0166016,4.3554688,-2.4765625,2.7773438,0.7895508,0.52197266,-1.1298828,0.96484375,-2.2753906,1.1416016,2.1445312,-2.6230469,0.74316406,-3.2246094,-1.3867188,-1.0615234,0.7270508,2.4433594,0.2861328,1.2646484,-1.2050781,0.78271484,-1.8701172,1.8046875,0.40673828,-1.6503906,1.4101562,0.70214844,-1.5283203,-1.2089844,3.4824219,1.2128906,-0.36865234,1.3857422,-1.7763672,-1.2109375,1.2880859,1.9912109,-2.6230469,-1.3388672,-0.42578125,-1.1132812,0.6533203,1.8798828,1.7822266,2.203125,-0.6542969,-0.28808594,1.0019531,-0.82666016,-0.5361328,-0.54541016,-1.1445312,-0.026748657,-1.9052734,-3.265625,-5.6875,0.7788086,-1.6376953,-0.7265625,0.23742676,2.6738281,9.2109375,0.4794922,-1.4707031,2.4648438,0.41430664,1.6328125,1.5917969,1.4189453,-1.0751953,-1.3144531,2.0820312,0.24267578,-2.3984375,2.7128906,1.2070312,-0.62597656,0.92285156,-0.98046875,0.3581543,-3.9707031,0.17749023,0.5620117,0.79248047,-0.92578125,-2.0332031,-0.76464844,3.3144531,2.8691406,-1.4580078,0.44140625,-5.78125,1.40625,8.8359375,-0.38549805,2.5800781,0.7314453,-0.24816895,-2.6425781,0.3725586,-2.6582031]
